entry_price,stop_loss,take_profit,rrr,exit_price,bars_held,profit,exit_reason
1.626,1.6004642857142857,1.69475,2.692307692307703,1.597,1,-0.017835178351783467,stop
1.596,1.5704642857142859,1.6647500000000002,2.692307692307703,1.565,4,-0.019423558897243193,stop
1.595,1.5673285714285714,1.6695,2.692307692307693,1.564,1,-0.019435736677115935,stop
1.501,1.4503,1.6374999999999997,2.692307692307691,1.628,9,0.08461025982678215,tech
1.718,1.6768642857142857,1.82875,2.692307692307696,1.841,4,0.07159487776484284,target
1.91,1.861435714285714,2.04075,2.6923076923076885,2.051,8,0.07382198952879594,target
2.118,2.04325,2.31925,2.692307692307696,2.015,3,-0.0486307837582624,stop
2.028,1.9825928571428573,2.1502499999999998,2.6923076923076925,2.011,5,-0.008382642998027566,tech
2.023,1.9890142857142858,2.1145000000000005,2.6923076923077027,1.988,4,-0.017301038062283808,stop
1.779,1.7137214285714284,1.9547499999999998,2.6923076923076863,1.764,5,-0.008431703204047163,tech
1.783,1.6949714285714286,2.02,2.692307692307696,1.802,5,0.010656197420078591,stop
1.898,1.8234357142857143,2.09875,2.6923076923076947,1.868,5,-0.015806111696522553,tech
1.957,1.8877285714285714,2.1435,2.6923076923076876,1.933,4,-0.012263668880940225,tech
1.956,1.89035,2.13275,2.6923076923076956,1.888,4,-0.03476482617586915,stop
1.743,1.691,1.883,2.692307692307688,1.893,8,0.08605851979345949,target
1.999,1.9291714285714288,2.1870000000000003,2.692307692307698,2.073,8,0.037018509254627234,tech
1.999,1.9561000000000002,2.1145,2.6923076923076947,1.98,4,-0.009504752376188157,tech
2.046,1.9971571428571429,2.1774999999999998,2.692307692307701,2.127,9,0.03958944281524925,tech
2.211,2.1496214285714283,2.3762499999999998,2.692307692307687,2.123,3,-0.03980099502487546,stop
1.954,1.8927142857142856,2.119,2.692307692307692,1.889,4,-0.03326509723643805,stop
1.993,1.9451785714285714,2.12175,2.6923076923076845,2.142,4,0.07476166583040632,target
2.18,2.1108214285714286,2.36625,2.6923076923076854,2.38,4,0.09174311926605491,target
2.418,2.332942857142857,2.647,2.6923076923076854,2.362,2,-0.02315963606286189,tech
2.021,1.9378,2.245,2.6923076923076965,1.918,2,-0.05096486887679366,stop
1.914,1.8037785714285712,2.21075,2.69230769230769,1.759,3,-0.08098223615464996,stop
1.642,1.488042857142857,2.0564999999999998,2.6923076923076907,1.708,6,0.04019488428745436,stop
1.828,1.7202857142857144,2.1180000000000003,2.692307692307696,1.772,5,-0.030634573304157576,tech
1.757,1.6803,1.9635,2.6923076923076943,1.75,9,-0.003984063745019861,tech
1.851,1.7895285714285714,2.0165,2.6923076923076934,1.802,5,-0.02647217720151266,tech
1.737,1.6837928571428573,1.8802500000000002,2.692307692307698,1.63,4,-0.06160046056419125,stop
1.541,1.5035785714285714,1.6417499999999998,2.692307692307695,1.551,5,0.006489292667099292,stop
1.519,1.4658857142857142,1.662,2.6923076923076947,1.501,9,-0.011849901250822921,tech
1.645,1.59625,1.77625,2.6923076923076903,1.641,9,-0.0024316109422492425,tech
