total_return,sharpe_ratio,max_drawdown,win_rate,avg_trade,num_trades,total_score
-9.499999996478436e-07,-0.1590849827697966,2.3899965580551283e-06,0.2941176470588235,-0.0005588235294117,17,45
-2.9499999991458026e-06,-0.2059371781443096,9.539946766748665e-06,0.3604651162790697,-0.0003430232558139,86,45
9.799999999813737e-07,0.1035541865175803,3.5099842400854884e-06,0.34375,0.00030625,32,70
2.2000000008119969e-07,0.0303358778813559,3.1399941595957294e-06,0.3846153846153846,8.461538461538356e-05,26,70
2.2000000008119969e-07,0.0303358778813559,3.1399941595957294e-06,0.3846153846153846,8.461538461538356e-05,26,70
-1.6099999997095438e-06,-0.3833226698855041,2.7899999997316625e-06,0.2727272727272727,-0.0014636363636363,11,5
9.999999929277692e-09,0.0017276991855459,2.029996731536752e-06,0.3478260869565217,4.347826086951197e-06,23,70
9.99999996565748e-08,0.0130975188997483,4.079984700124605e-06,0.3666666666666666,3.333333333333034e-05,30,70
9.99999996565748e-08,0.0130975188997483,4.079984700124605e-06,0.3666666666666666,3.333333333333034e-05,30,70
9.99999996565748e-08,0.0130975188997483,4.079984700124605e-06,0.3666666666666666,3.333333333333034e-05,30,70
-4.659999999421416e-06,-0.3769206580351444,9.739988896286926e-06,0.328125,-0.000728125,64,30
-4.659999999421416e-06,-0.3769206580351444,9.739988896286926e-06,0.328125,-0.000728125,64,30
-4.659999999421416e-06,-0.3769206580351444,9.739988896286926e-06,0.328125,-0.000728125,64,30
-4.659999999421416e-06,-0.3769206580351444,9.739988896286926e-06,0.328125,-0.000728125,64,30
4.000000000087311e-06,0.5721341905588847,2.119997053308578e-06,0.4444444444444444,0.0022222222222222,18,55
0.0,,0.0,0.0,0.0,0,20
2.440000000206055e-06,0.2180210256332324,4.11999806338525e-06,0.4081632653061224,0.0004979591836734,49,55
2.440000000206055e-06,0.2180210256332324,4.11999806338525e-06,0.4081632653061224,0.0004979591836734,49,55
2.440000000206055e-06,0.2180210256332324,4.11999806338525e-06,0.4081632653061224,0.0004979591836734,49,55
4.069999999956053e-06,0.3531003327030653,4.63999600953009e-06,0.4210526315789473,0.0007140350877192,57,55
4.069999999956053e-06,0.3531003327030653,4.63999600953009e-06,0.4210526315789473,0.0007140350877192,57,55
0.0,,0.0,0.0,0.0,0,20
-5.699999999706051e-07,-0.0690050367478649,3.069992325135311e-06,0.3478260869565217,-0.0002478260869565,23,30
2.509999999892898e-06,0.2919206559467698,2.55999344650176e-06,0.4347826086956521,0.001091304347826,23,55
0.0,,0.0,0.0,0.0,0,20
2.7499999994688552e-06,0.2726440277805862,3.829974799145918e-06,0.3888888888888889,0.0007638888888888,36,55
2.9399999997622216e-06,0.2692030926024403,2.8099949419631205e-06,0.3809523809523809,0.0007,42,55
2.530000000115251e-06,0.2073236336703957,3.489989251071176e-06,0.375,0.0004517857142857,56,55
-4.37999999976455e-06,-0.3965677861523735,5.639999999584688e-06,0.3035714285714285,-0.0007821428571428,56,30
0.0,,0.0,0.0,0.0,0,20
3.3300000002782324e-06,0.2892304066053525,6.8799476435085e-06,0.4,0.0006054545454545,55,55
0.0,,0.0,0.0,0.0,0,20
-3.900000000066938e-06,-0.3509785793859095,5.549999278539383e-06,0.320754716981132,-0.0007358490566037,53,30
-1.6399999996792758e-06,-0.1483615058413657,4.809993217543437e-06,0.3404255319148936,-0.000427659574468,47,30
0.0,,0.0,0.0,0.0,0,20
0.0,,0.0,0.0,0.0,0,20
0.0,,0.0,0.0,0.0,0,20
0.0,,0.0,0.0,0.0,0,20
-1.1700000000928412e-06,-0.0867208535126233,8.77994960302263e-06,0.3636363636363636,-0.000151948051948,77,30
2.68000000014581e-06,0.2281830478947298,5.459968004717585e-06,0.3928571428571428,0.0004785714285714,56,55
0.0,,0.0,0.0,0.0,0,20
2.6999999998224665e-06,0.2356156701557782,3.3499963147770435e-06,0.3829787234042553,0.0005744680851063,47,55
2.6999999998224665e-06,0.2356156701557782,3.3499963147770435e-06,0.3829787234042553,0.0005744680851063,47,55
2.6999999998224665e-06,0.23561567015577825,3.3499963147770435e-06,0.3829787234042553,0.0005744680851063857,47,55
